Question Number,Question,Answer1,Answer2,Answer3,Answer4,Category,Difficulty
1,What is the main difference between Artificial Intelligence and Machine Learning?,AI is the broader concept of machines carrying out tasks smartly while ML is a subset focusing on learning from data,AI encompasses all techniques for machine intelligence while ML specifically uses statistical learning methods,ML is an application of AI that enables systems to learn and improve from experience automatically,AI is the science of making machines intelligent while ML is the method of training algorithms with data,Artificial Intelligence (AI) and Machine Learning (ML),Beginner
2,What are the three main types of machine learning?,Supervised Learning Unsupervised Learning and Reinforcement Learning,Classification Regression and Clustering,Supervised Unsupervised and Semi-supervised Learning,Regression Classification and Dimensionality Reduction,Artificial Intelligence (AI) and Machine Learning (ML),Beginner
3,Explain what neural networks are in the context of machine learning.,Neural networks are computing systems inspired by biological neural networks that learn from examples,Neural networks are algorithms that recognize patterns by mimicking how the human brain operates,Neural networks consist of interconnected nodes in layers that process information using connectionist approach,Neural networks are mathematical models using layered algorithms to analyze data features,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
4,What is the difference between classification and regression in machine learning?,Classification predicts categorical labels while regression predicts continuous numerical values,Classification deals with discrete outcomes while regression deals with continuous outcomes,Classification is used for category prediction and regression for value prediction,Classification outputs class labels and regression outputs numerical values,Artificial Intelligence (AI) and Machine Learning (ML),Beginner
5,What is overfitting in machine learning and how can it be prevented?,Overfitting occurs when a model learns training data too well including noise Prevention includes cross-validation regularization and pruning,Overfitting happens when model captures noise with pattern Prevention methods include more data and early stopping,Overfitting is when model performs well on training but poorly on new data Reduced by dropout and data augmentation,Overfitting occurs when model becomes too complex Prevention includes k-fold validation and ensemble methods,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
6,What is transfer learning in deep learning?,Transfer learning uses pre-trained models as starting points for different but related problems,Transfer learning applies knowledge from one problem to solve a different but related problem,Transfer learning uses models trained on one task as foundation for models on second tasks,Transfer learning leverages features from large datasets to improve performance on smaller datasets,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
7,What are convolutional neural networks CNNs primarily used for?,CNNs are primarily used for image recognition and processing tasks,CNNs are specialized for processing grid-like data such as images,CNNs excel at image classification object detection and image segmentation,CNNs are designed to process pixel data for visual imagery analysis,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
8,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data while unsupervised learning finds patterns in unlabeled data,Supervised learning has target variables provided unsupervised discovers hidden patterns,In supervised learning algorithm learns from labeled examples unsupervised finds structure,Supervised requires input-output pairs unsupervised works with input data only,Artificial Intelligence (AI) and Machine Learning (ML),Beginner
9,What is reinforcement learning?,Reinforcement learning is where agents learn decisions through rewards or penalties for actions,Reinforcement learning involves agents interacting with environment learning through trial and error,In reinforcement learning algorithms learn goals by maximizing cumulative reward,Reinforcement learning trains models to make decision sequences using reward feedback,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
10,What is natural language processing NLP?,NLP enables computers to understand interpret and generate human language,NLP involves interaction between computers and human language including speech recognition,NLP combines linguistics and computer science to process natural language data,NLP enables computers to read understand and derive meaning from human languages,Artificial Intelligence (AI) and Machine Learning (ML),Beginner
11,What does AWS stand for and what is its primary service?,Amazon Web Services it provides on-demand cloud computing platforms and APIs,AWS stands for Amazon Web Services offering cloud computing services including computing power,AWS is Amazon Web Services providing cloud computing services from multiple regions worldwide,AWS means Amazon Web Services delivering on-demand computing resources over Internet,Cloud Computing (AWS/Azure/GCP),Beginner
12,What are the three main service models in cloud computing?,Infrastructure as Service IaaS Platform as Service PaaS and Software as Service SaaS,IaaS provides virtualized computing resources PaaS provides development platforms SaaS provides software,IaaS offers raw computing PaaS offers development platforms SaaS offers ready applications,The three cloud models are IaaS infrastructure PaaS platform and SaaS software,Cloud Computing (AWS/Azure/GCP),Beginner
13,What is the difference between scalability and elasticity in cloud computing?,Scalability handles increased load by adding resources elasticity automatically scales based on demand,Scalability refers to handling growth elasticity refers to automatic scaling based on current demand,Scalability is capacity planning for growth elasticity is automatic resource adjustment,Scalability handles permanent growth needs elasticity handles fluctuating workloads,Cloud Computing (AWS/Azure/GCP),Intermediate
14,What is Azures equivalent of AWS EC2?,Azure Virtual Machines,Microsoft Azure Virtual Machines,Azure VM service,Azure Compute instances,Cloud Computing (AWS/Azure/GCP),Beginner
15,What is Google Cloud Platforms primary compute service?,Google Compute Engine,GCPs Compute Engine,Google Cloud Compute,GC Compute service,Cloud Computing (AWS/Azure/GCP),Beginner
16,What is the primary goal of cybersecurity?,To protect systems networks and data from digital attacks damage or unauthorized access,To ensure confidentiality integrity and availability of information systems,To prevent unauthorized access use disclosure disruption modification or destruction,To safeguard digital assets and maintain trust through protective measures,Cybersecurity,Beginner
17,What are the three main principles of information security CIA triad?,Confidentiality Integrity and Availability,Privacy Accuracy and Accessibility,Secrecy Trustworthiness and Reliability,Protection Authenticity and Uptime,Cybersecurity,Beginner
18,What is the difference between vulnerability threat and risk?,Vulnerability is weakness threat is potential danger risk is potential for loss,Vulnerability is flaw threat exploits it risk is impact if exploited,Vulnerability is weakness threat can harm risk is likelihood of harm,Vulnerability is exposure threat is danger source risk is negative outcome,Cybersecurity,Beginner
19,What is social engineering?,Social engineering manipulates people into revealing confidential information,Social engineering uses psychological manipulation to trick people,Social engineering attacks human psychology rather than technical systems,Social engineering exploits human trust to bypass security measures,Cybersecurity,Intermediate
20,What is phishing?,Phishing uses fraudulent emails to trick recipients into revealing sensitive information,Phishing uses deceptive emails and websites to steal personal information,Phishing is cyber attack using disguised email to target many people,Phishing attempts to acquire information by masquerading as trustworthy,Cybersecurity,Beginner
21,What is the main goal of data science?,To extract knowledge and insights from structured and unstructured data,To discover patterns and meaningful information using scientific methods,To use data to understand phenomena and support decision making,To transform raw data into valuable insights and predictive models,Data Science and Data Analytics,Beginner
22,What is the difference between data science and data analytics?,Data science finds meaningful correlations data analytics uncovers specific answers,Data science is research-oriented data analytics focuses on business insights,Data science involves predictive modeling data analytics focuses on descriptive analysis,Data science builds future predictions data analytics examines past data,Data Science and Data Analytics,Beginner
23,What are the main steps in the data science lifecycle?,Data collection preparation exploration modeling evaluation and deployment,Problem definition data acquisition preparation modeling evaluation deployment,Data understanding preparation modeling evaluation and deployment,Business understanding preparation modeling evaluation monitoring,Data Science and Data Analytics,Beginner
24,What is the main goal of DevOps?,To shorten development lifecycle and provide continuous delivery with high quality,To bridge development and operations through automation and collaboration,To enable continuous integration and delivery improving deployment frequency,To automate software development and infrastructure management processes,DevOps and CI/CD,Beginner
25,What is CICD?,Continuous Integration and Continuous Deployment automates software release process,CICD frequently delivers apps by automating development stages,CICD enables teams to deliver code changes frequently and reliably,CICD practices help ship software quickly through automation,DevOps and CI/CD,Beginner
26,What is the difference between continuous delivery and continuous deployment?,Continuous delivery requires manual approval continuous deployment is fully automated,Continuous delivery prepares code automatically but requires manual deployment,In continuous delivery changes are production-ready but deployed manually,Continuous delivery stops before production deployment includes automatic deployment,DevOps and CI/CD,Intermediate
27,What is Python primarily used for?,Web development data analysis artificial intelligence scientific computing automation,Python used for backend web development machine learning data science,Python applications include web development AI data analytics automation,Python versatile for web apps data processing AI development administration,Python (Programming Language),Beginner
28,What are the key features of Python?,Easy to learn interpreted dynamic typing high-level extensive libraries,Simple syntax cross-platform open-source large community standard library,Readable code rapid development supports multiple paradigms rich ecosystem,Interpreted object-oriented supports functional programming comprehensive packages,Python (Programming Language),Beginner
29,What is JavaScript primarily used for?,Web development both client-side and server-side programming,JavaScript mainly creates interactive web pages and web applications,JavaScript enables dynamic content and powers frontend frameworks Nodejs,JavaScript handles web interactivity form validation animations server-side,JavaScript / TypeScript,Beginner
30,What is the difference between JavaScript and TypeScript?,TypeScript is superset of JavaScript adding static typing features,TypeScript provides optional static typing classes interfaces,TypeScript adds type safety and better tooling to JavaScript,TypeScript extends JavaScript with types interfaces OOP features,JavaScript / TypeScript,Beginner
31,Why are data structures and algorithms important?,They help write efficient code improve problem-solving crucial for interviews,DSA enables efficient data organization leading to better performance,Understanding DSA helps choose right tools write memory-efficient code,DSA knowledge essential for complex systems computational problems,Data Structures and Algorithms (DSA),Beginner
32,What is the difference between arrays and linked lists?,Arrays have contiguous memory fixed size linked lists dynamic non-contiguous,Arrays allow random access fixed size linked lists dynamic sequential access,Arrays better for frequent access linked lists for insertions deletions,Arrays use index access linked lists use node traversal pointers,Data Structures and Algorithms (DSA),Beginner
33,What is the difference between SQL and NoSQL databases?,SQL databases relational structured schema NoSQL non-relational flexible,SQL uses tables relationships NoSQL uses documents key-value graph,SQL databases ACID compliant NoSQL offers scalability flexibility,SQL provides strong consistency NoSQL offers high availability,Database Management (SQL/NoSQL),Beginner
34,What is ACID properties in databases?,Atomicity Consistency Isolation Durability ensure reliable transaction processing,ACID guarantees transactions reliable Atomic all or nothing Consistent valid,Atomicity transactions all or nothing Consistency valid transitions Isolation,ACID ensures transactions maintain data integrity reliability,Database Management (SQL/NoSQL),Intermediate
35,What is full-stack development?,Development of both front-end client-side and back-end server-side web applications,Full-stack developers work on user-facing frontend server-side backend,Full-stack involves creating complete applications database backend frontend,Full-stack encompasses all layers from interface to database management,Full-Stack Development,Beginner
36,What technologies are typically involved in full-stack development?,Frontend HTML CSS JavaScript Backend Nodejs Python Java Database MySQL MongoDB,Frontend frameworks React backend frameworks Express databases version control,Client-side technologies server-side languages databases APIs infrastructure,UIUX technologies application logic data storage deployment infrastructure,Full-Stack Development,Beginner
37,What is a neural network and how does it learn?,Neural networks are algorithms recognizing relationships through brain-like processes,Neural networks learn through training adjusting weights using backpropagation,Neural networks consist of interconnected layers learning patterns through iterations,Neural networks learn by processing examples comparing outputs adjusting parameters,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
38,What is multi-factor authentication MFA?,MFA requires multiple verification factors for resource access,MFA enhances security combining methods like passwords biometrics tokens,MFA uses something you know have and are for verification,MFA adds security layers requiring different credential types,Cybersecurity,Beginner
39,What is Docker and what problem does it solve?,Docker containerizes applications for consistent deployment across environments,Docker solves it works on my machine problem creating isolated portable environments,Docker ensures applications run consistently by packaging everything needed,Docker enables building shipping running applications using container technology,DevOps and CI/CD,Beginner
40,What is Kubernetes and why is it important?,Kubernetes automates deployment scaling management of containerized applications,Kubernetes manages containers across hosts providing service discovery load balancing,Kubernetes important for microservices ensuring high availability scalability,Kubernetes automates container management enabling efficient resource utilization,DevOps and CI/CD,Intermediate
41,What are Python lists and how do they differ from tuples?,Python lists mutable ordered collections tuples immutable cannot change,Lists use square brackets allow modification tuples use parentheses fixed,Lists for dynamic changing data tuples for fixed unmodified data,Lists have modification methods tuples faster for heterogeneous data,Python (Programming Language),Beginner
42,What is React and why is it popular for frontend development?,React is JavaScript library building user interfaces with component architecture,React virtual DOM enables performance component reusability simplifies UI,React popular due to declarative model rich ecosystem community support,React allows complex UIs through composable components unidirectional flow,JavaScript / TypeScript,Intermediate
43,What is the time complexity of binary search and why?,Olog n because it halves search space with each comparison,Olog n complexity divides dataset repeatedly until target found,Olog n from eliminating half elements each algorithm step,Log n factor reduces search space by half each iteration,Data Structures and Algorithms (DSA),Intermediate
44,What is database normalization and why is it important?,Normalization organizes data reducing redundancy improving integrity,Normalization minimizes duplication ensures dependencies prevent anomalies,Normalization divides databases into tables defining relationships,Normalization eliminates redundant data ensures logical storage,Database Management (SQL/NoSQL),Intermediate
45,What is the difference between REST and GraphQL?,REST uses multiple endpoints fixed data GraphQL single endpoint flexible queries,REST returns complete resources GraphQL specifies needed data,REST resource-oriented GraphQL query-oriented efficient loading,REST has over-fetching GraphQL enables precise data retrieval,Full-Stack Development,Intermediate
46,What is cloud computing and what are its benefits?,Cloud computing delivers services over internet with cost savings scalability flexibility,Cloud provides on-demand access with pay-as-you-go global scalability,Benefits include reduced costs automatic scaling high availability faster deployment,Cloud offers elasticity reliability access to technologies without investment,Cloud Computing (AWS/Azure/GCP),Beginner
47,What is encryption and how does it work?,Encryption converts plaintext to ciphertext using algorithms keys,Encryption uses algorithms to transform readable to unreadable format,Encryption works by applying mathematical functions with secret keys,Encryption ensures privacy scrambling information for secure transmission,Cybersecurity,Beginner
48,What is the difference between big data and traditional data?,Big data refers to large complex datasets requiring specialized tools,Big data characterized by volume velocity variety unlike traditional,Big data involves unstructured multiple sources traditional structured,Big data requires distributed processing traditional uses conventional systems,Data Science and Data Analytics,Intermediate
49,What is infrastructure as code IaC and its benefits?,IaC manages infrastructure through machine-readable files enabling automation,IaC allows version control repeatable deployments automated management,Benefits include faster provisioning reduced error consistent environments,IaC treats infrastructure as code enabling automated testing deployment,DevOps and CI/CD,Intermediate
50,What are Python decorators and how are they used?,Decorators modify behavior of functions without changing source code,Python decorators wrap functions extending functionality using syntax,Decorators are higher-order functions returning enhanced versions,Decorators implement pattern used for logging timing access control,Python (Programming Language),Advanced
51,What is a generative adversarial network GAN?,GAN consists of two neural networks generator and discriminator competing to generate synthetic data,GANs are deep learning architectures pitting two networks against each other to generate data,Generative Adversarial Networks use adversarial training with generator and evaluator,GANs have generator creating fake data and discriminator distinguishing real from fake,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
52,What is the purpose of regularization in machine learning?,Regularization prevents overfitting by adding penalty terms to discourage complex models,Regularization techniques reduce overfitting by penalizing large weights,Regularization adds constraints to prevent models becoming too complex,Regularization improves generalization by adding complexity penalty during training,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
53,What is the difference between L1 and L2 regularization?,L1 adds absolute value penalty leading to sparse models L2 adds squared value,L1 Lasso drives coefficients to zero L2 Ridge shrinks coefficients evenly,L1 uses absolute values creating sparse solutions L2 distributes weight,L1 produces sparse feature selection L2 produces dense small weights,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
54,What is early stopping in neural network training?,Early stopping halts training when validation performance degrades preventing overfitting,Early stopping monitors validation error stopping when it increases,Early stopping prevents overfitting by terminating when generalization stops improving,Early stopping saves computation time by stopping when metrics plateau,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
55,What is the difference between batch gradient descent and stochastic gradient descent?,Batch GD uses entire dataset per update SGD uses one random sample,Batch GD computes gradients using whole dataset SGD uses single examples,Batch GD processes all examples before updating SGD updates after each example,SGD is noisier but faster per iteration Batch GD smoother but expensive,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
56,What are autoencoders used for?,Autoencoders used for dimensionality reduction feature learning data denoising,Autoencoders are neural networks trained to reconstruct input for compression,Autoencoders learn compressed representations for denoising and generative modeling,Autoencoders have encoder decoder networks learning efficient data encodings,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
57,What is the attention mechanism in neural networks?,Attention mechanism allows models to focus on specific input parts during output,Attention enables networks to assign different weights to input parts,Attention allows dynamic highlighting of relevant input features,Attention helps models concentrate on important elements ignoring irrelevant,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
58,What is federated learning?,Federated learning trains models across decentralized devices without sharing data,Federated learning enables training on user devices keeping data localized,Federated learning trains models across devices without exchanging data samples,Federated learning allows collaborative training while maintaining privacy,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
59,What is explainable AI XAI?,XAI makes AI decision processes understandable to humans,Explainable AI creates systems whose actions can be understood by users,XAI develops transparent models providing decision insights,Explainable AI helps humans comprehend trust and manage AI systems,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
60,What is the difference between parametric and non-parametric models?,Parametric models have fixed parameters non-parametric grow with data,Parametric models make strong assumptions non-parametric more flexible,Parametric models have predetermined structure non-parametric adapt complexity,Parametric models fixed complexity non-parametric grow with data,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
61,What is the difference between public private and hybrid cloud?,Public cloud shared infrastructure private dedicated hybrid combines both,Public cloud available to anyone private for single organization hybrid mixes,Public cloud shared resources private dedicated infrastructure hybrid integrates,Public cloud multi-tenant private single-tenant hybrid connects both,Cloud Computing (AWS/Azure/GCP),Beginner
62,What is AWS S3 and what is it used for?,Amazon Simple Storage Service provides object storage through web interface,AWS S3 offers scalable object storage for backup archival analytics,AWS S3 is cloud storage for storing retrieving any amount data,S3 provides secure durable scalable cloud storage for various data,Cloud Computing (AWS/Azure/GCP),Beginner
63,What is Azure Blob Storage equivalent to in AWS?,AWS S3,Amazon Simple Storage Service,Amazon S3 object storage,AWS storage service,Cloud Computing (AWS/Azure/GCP),Beginner
64,What is the purpose of a Virtual Private Cloud VPC?,VPC provides isolated cloud section to launch resources in virtual network,VPC enables logically isolated AWS Cloud section for launching resources,VPC provides network isolation security boundaries for cloud resources,VPC allows private networks within cloud with customizable IP ranges,Cloud Computing (AWS/Azure/GCP),Intermediate
65,What is auto-scaling in cloud computing?,Auto-scaling automatically adjusts computing resources based on usage demand,Auto-scaling dynamically adds removes resources maintaining performance,Auto-scaling monitors applications adjusting capacity for steady performance,Auto-scaling ensures right instances running to handle application load,Cloud Computing (AWS/Azure/GCP),Intermediate
66,What are the main advantages of cloud computing?,Cost efficiency scalability reliability flexibility global reach,Pay-as-you-go pricing elastic scalability high availability reduced maintenance,Reduced IT costs improved agility enterprise security faster deployment,No upfront costs automatic scaling business continuity latest technologies,Cloud Computing (AWS/Azure/GCP),Beginner
67,What is serverless computing?,Serverless computing builds runs apps without managing infrastructure pay per use,Serverless abstracts infrastructure management focusing on code,Serverless architecture automatically provisions computing resources,Serverless runs code in response to events without server management,Cloud Computing (AWS/Azure/GCP),Intermediate
68,What is AWS Lambda?,AWS Lambda is serverless compute service running code in response to events,AWS Lambda executes code in response to triggers without server provisioning,AWS Lambda runs backend code without servers scaling automatically,Lambda is event-driven computing service managing resources automatically,Cloud Computing (AWS/Azure/GCP),Intermediate
69,What is the difference between IAM roles and IAM users?,IAM users represent people IAM roles assumed by entities provide temporary credentials,IAM users have permanent credentials IAM roles provide temporary security,IAM users for long-term access roles for temporary access,IAM users have access keys roles assumed by services providing permissions,Cloud Computing (AWS/Azure/GCP),Intermediate
70,What is Azure Functions?,Azure Functions is serverless compute enabling event-driven programming,Azure Functions runs code on-demand without infrastructure scaling automatically,Azure Functions is serverless solution writing less code maintaining less,Azure Functions executes code using triggers bindings without server management,Cloud Computing (AWS/Azure/GCP),Intermediate
71,What is encryption?,Encryption converts data into coded form preventing unauthorized access,Encryption uses algorithms to transform readable to unreadable format,Encryption scrambles information so only authorized parties can read,Encryption protects confidentiality converting plaintext to ciphertext,Cybersecurity,Beginner
72,What is the difference between symmetric and asymmetric encryption?,Symmetric uses same key asymmetric uses public-private key pair,Symmetric faster but requires secure exchange asymmetric slower no sharing,Symmetric uses shared secret keys asymmetric uses mathematical key pairs,Symmetric good for bulk data asymmetric ideal for secure key exchange,Cybersecurity,Intermediate
73,What is a firewall?,Firewall monitors controls network traffic based on security rules,Firewall acts as barrier between trusted internal untrusted external networks,Firewall filters network traffic preventing unauthorized access,Firewall inspects packets blocking allowing based on policies,Cybersecurity,Beginner
74,What is a VPN and why is it used?,Virtual Private Network creates secure encrypted connection over internet,VPN extends private network across public networks enabling secure access,VPN encrypts internet traffic hiding IP addresses for privacy,VPN creates secure tunnels for data transmission over public networks,Cybersecurity,Beginner
75,What is a DDoS attack?,Distributed Denial of Service overwhelms target with traffic from multiple sources,DDoS attacks flood servers networks services with excessive traffic,DDoS uses multiple compromised systems launching coordinated attacks,DDoS aims making online services unavailable overwhelming traffic,Cybersecurity,Intermediate
76,What is malware?,Malicious software designed to harm exploit programmable devices networks,Malware is software intentionally designed causing computer damage,Malware includes viruses worms trojans ransomware harmful programs,Malware is intrusive software damaging gaining unauthorized access,Cybersecurity,Beginner
77,What is the difference between a virus and a worm?,Virus requires user action worm spreads independently without intervention,Virus attaches to files programs worm standalone self-replicating networks,Virus needs host program worm can execute spread independently,Virus spreads through human action worm spreads automatically,Cybersecurity,Intermediate
78,What is ransomware?,Ransomware encrypts files demands payment for release,Ransomware blocks access to systems until ransom paid,Ransomware holds data hostage through encryption until payment,Ransomware extorts victims encrypting files demanding payment,Cybersecurity,Intermediate
79,What is a zero-day vulnerability?,Zero-day vulnerability unknown to vendor no patch exists,Zero-day unknown security hole exploited before developers fix,Zero-day discovered by attackers before vendor aware,Zero-day gives attackers advantage no patches exist,Cybersecurity,Advanced
80,What is penetration testing?,Penetration testing authorized simulated cyberattack evaluating security,Pen testing involves ethical hacking identifying vulnerabilities,Penetration testing simulates real attacks testing defenses,Pen testing controlled attack simulation assessing security posture,Cybersecurity,Intermediate
81,What is exploratory data analysis EDA?,EDA analyzes datasets summarizing characteristics with visual methods,EDA investigates datasets discovering patterns spotting anomalies,EDA uses statistical graphics visualization understanding distributions,EDA examines data finding underlying patterns generating hypotheses,Data Science and Data Analytics,Intermediate
82,What is the difference between population and sample?,Population entire group studied sample subset population,Population includes all members sample representative selection,Population represents complete set sample smaller group studied,Population total collection sample portion actually observed,Data Science and Data Analytics,Beginner
83,What is correlation and causation?,Correlation measures relationship causation implies one variable causes change,Correlation indicates association causation indicates direct effect,Correlation shows variables move together causation shows cause effect,Correlation doesnt imply causation related variables may not cause,Data Science and Data Analytics,Beginner
84,What is feature selection?,Feature selection process selecting relevant features for model building,Feature selection identifies removes irrelevant features improving performance,Feature selection chooses predictive variables including models,Feature selection reduces dimensionality selecting important features,Data Science and Data Analytics,Intermediate
85,What is data preprocessing?,Data preprocessing involves cleaning transforming raw data before analysis,Data preprocessing handles missing values outliers data formatting,Data preprocessing includes normalization encoding cleaning,Data preprocessing converts raw data into clean datasets,Data Science and Data Analytics,Intermediate
